ADM1_EN,ADM2_EN,kasus,rawatInap,meninggal,testing,tracing,treatment
JAWA BARAT,KOTA BOGOR,27.61,18.54,0.54,18.15,2,18.01
JAWA TENGAH,PURWOREJO,38.25,10.07,2.23,30.03,2.51,19.39
JAWA TENGAH,KOTA MAGELANG,36.12,71.77,25.45,20.28,6,16.75
JAWA TENGAH,BOYOLALI,35.95,5.32,0.71,57.49,2.48,14.54
JAWA TENGAH,KOTA SALATIGA,34.36,22.31,2.02,34.82,2.21,17.12
JAWA TENGAH,SUKOHARJO,28.05,13.02,1.89,22.91,4.48,23.45
JAWA TENGAH,BANYUMAS,26.51,18.14,1.64,47.21,5.09,23.77
JAWA TENGAH,KLATEN,24.29,17.49,3.92,31.66,2.5,27.62
JAWA TENGAH,WONOGIRI,23.41,13.86,2.09,37.2,2.19,33.72
JAWA TENGAH,CILACAP,21.28,5.56,2.02,28.01,3.66,16.75
JAWA TENGAH,PURBALINGGA,19.91,10.45,1.27,41.58,1,33.81
JAWA TENGAH,SRAGEN,19.35,8.5,1.24,14.88,4.55,20.1
JAWA TENGAH,KEBUMEN,15.49,13.83,1.51,19.75,3.41,26.2
JAWA TENGAH,TEGAL,7.45,4.05,0.84,18.81,2.29,12.69
JAWA TENGAH,KENDAL,6.75,1.55,0.61,8.47,3,12.1
JAWA TENGAH,KOTA PEKALONGAN,6.45,2.95,0.32,4.7,3.15,12.88
JAWA TENGAH,JEPARA,6.23,0.88,0.23,10.35,5.83,4.13
JAWA TENGAH,REMBANG,6.22,1.4,0.16,8.67,12.25,3.04
JAWA TENGAH,SEMARANG,6.06,4.39,1.03,27.19,2.29,27.14
JAWA TENGAH,PATI,4.91,0.84,0.24,6.24,17.58,4.44
JAWA TENGAH,BATANG,4.9,0.94,0.64,9.35,4.57,6.23
JAWA TENGAH,BLORA,4.86,1.88,0.93,9.04,4.83,5.97
JAWA TENGAH,PEMALANG,4.08,2.89,0.31,5.58,9,13.32
JAWA TENGAH,GROBOGAN,2.54,1.48,0.22,4.68,13.45,4.07
JAWA TENGAH,PEKALONGAN,2.11,1.68,0.44,11.9,3.63,18.34
JAWA TENGAH,KUDUS,1.92,1.91,0.79,2.51,5.31,5.22
JAWA TIMUR,KOTA BLITAR,123.75,86.5,7.65,34.39,3.81,34.04
JAWA TIMUR,KOTA MADIUN,92.71,142.96,10.11,29.39,15.2,52.68
JAWA TIMUR,MAGETAN,38.2,11.34,7.23,31.83,5.05,33.71
JAWA TIMUR,KOTA SURABAYA,37.72,25.94,3.29,14.17,18.39,19.94
JAWA TIMUR,KOTA KEDIRI,35.36,51.35,5.15,31.84,4.64,27.15
JAWA TIMUR,KOTA PROBOLINGGO,34.79,12.54,3.31,17.5,2.95,23.12
JAWA TIMUR,TRENGGALEK,32.74,21.42,6,27.59,9.51,37
JAWA TIMUR,MADIUN,32.68,18.34,4.67,26.67,14.01,28.97
JAWA TIMUR,BLITAR,30.83,12.6,5.82,28.61,6.38,42.81
JAWA TIMUR,KEDIRI,30.5,8.27,3.47,26.88,3.54,27.64
JAWA TIMUR,PACITAN,30.15,6.59,3.23,39.62,13.8,33.77
JAWA TIMUR,NGANJUK,26.6,14.39,2.08,32.19,5.43,28.63
JAWA TIMUR,KOTA BATU,25.09,18.33,2.37,27.49,9.72,26.08
JAWA TIMUR,KOTA MOJOKERTO,22.86,74.25,2.29,39.22,9.88,30.11
JAWA TIMUR,NGAWI,22.02,14.93,3.69,32.29,9.54,32.83
JAWA TIMUR,MALANG,20.14,11.69,4.17,18.58,7.7,41.72
JAWA TIMUR,GRESIK,19.29,7.87,0.74,28.4,16.52,15.23
JAWA TIMUR,JOMBANG,19.07,14.27,3.06,27.38,11.56,34.93
JAWA TIMUR,TULUNGAGUNG,18.61,26.69,2.2,31.55,8.19,29.33
JAWA TIMUR,BANYUWANGI,16.46,4.81,3.57,11.65,13.9,20.47
JAWA TIMUR,SIDOARJO,15.33,10.01,0.56,12.94,15.28,18.6
JAWA TIMUR,JEMBER,14.65,7.11,3.28,24.05,8.71,28.12
JAWA TIMUR,PROBOLINGGO,7.87,2.65,0.93,23.49,4.48,13.82
JAWA TIMUR,TUBAN,7.02,2.59,0.68,21.48,12.48,11.27
JAWA TIMUR,SITUBONDO,6.82,3.05,1.45,25.96,5.09,13.32
JAWA TIMUR,SAMPANG,6.29,0.81,0.1,6.06,16.54,12.53
JAWA TIMUR,PASURUAN,5.57,3.19,0.48,18.84,11.47,13.73
JAWA TIMUR,PAMEKASAN,5.57,2.42,1,2.27,14.81,16.33
JAWA TIMUR,BANGKALAN,5.18,9.36,2.99,15.45,6.26,28.9
JAWA TIMUR,SUMENEP,4.47,1.33,0.18,8.52,11.51,7.14
KALIMANTAN BARAT,BENGKAYANG,68.27,5.12,0.38,46.24,3.47,41.96
KALIMANTAN BARAT,KETAPANG,36.13,4.24,2.28,17.2,2.39,23.71
KALIMANTAN BARAT,KOTA SINGKAWANG,33.15,13.15,0,18.35,3.64,8.94
KALIMANTAN BARAT,KOTA PONTIANAK,33.09,27.8,1.37,11.2,3.19,28.48
KALIMANTAN BARAT,MEMPAWAH,32.16,9.94,1.5,44,2.89,40.88
KALIMANTAN BARAT,KUBU RAYA,29.09,4.54,0.51,14.34,3.49,41.74
KALIMANTAN BARAT,LANDAK,24.78,5.1,0.78,6.25,4.32,47.74
KALIMANTAN BARAT,SANGGAU,22.56,2.15,0.42,37.14,2.8,21.88
KALIMANTAN BARAT,KAPUAS HULU,20,2.91,0,0,2.93,12.47
KALIMANTAN BARAT,SAMBAS,18.06,2.53,0.55,15.35,1.68,12.47
KALIMANTAN BARAT,SEKADAU,17.75,1.27,0.49,41.67,4,6.43
KALIMANTAN SELATAN,TABALONG,115.57,22.66,1.55,30.16,2.13,70.4
KALIMANTAN SELATAN,KOTA BANJAR BARU,93.97,33.12,7.31,53.55,2.81,59.2
KALIMANTAN SELATAN,TANAH LAUT,93.87,30.55,2.3,28.15,3.35,71.91
KALIMANTAN SELATAN,HULU SUNGAI SELATAN,38.36,27.34,0.42,54.26,2.55,34.5
KALIMANTAN SELATAN,TANAH BUMBU,36.92,15.82,5.06,20.82,2.17,53.03
KALIMANTAN SELATAN,TAPIN,34.25,13.05,3.63,56.86,3,55.87
KALIMANTAN SELATAN,HULU SUNGAI UTARA,34.09,6.91,4.63,32.04,2.27,36.51
KALIMANTAN SELATAN,BARITO KUALA,31.39,3.9,0.95,63.33,2.5,29.97
KALIMANTAN SELATAN,BANJAR,29.06,12.46,1.34,15.74,2,42.86
KALIMANTAN TENGAH,KOTA PALANGKA RAYA,100.36,105.66,4.81,26.74,0,42.33
KALIMANTAN TENGAH,BARITO SELATAN,71.13,17.45,5.75,74.77,0,37.95
KALIMANTAN TENGAH,PULANG PISAU,35.87,20.28,0,50,0,22.39
KALIMANTAN TENGAH,KAPUAS,35.73,5.54,2.47,7.45,2,34.14
KALIMANTAN TENGAH,KATINGAN,32.59,7.11,0.57,58.62,0,12.91
KALIMANTAN TENGAH,KOTAWARINGIN TIMUR,27.65,6.69,0,22.56,0,14.42
KALIMANTAN TENGAH,BARITO UTARA,27.25,31.14,0,53.26,3.2,39.94
KALIMANTAN TENGAH,LAMANDAU,25.52,4.17,2.43,75,0,3.81
KALIMANTAN TENGAH,KOTAWARINGIN BARAT,17.92,15.31,1.92,13.91,0,21.95
KALIMANTAN TENGAH,SERUYAN,15.7,2.24,0.48,100,0,8.57
KALIMANTAN TENGAH,MURUNG RAYA,5.04,37.89,0,0,0,42.19
KALIMANTAN TIMUR,BERAU,259.96,58.37,10.31,13.27,2.86,51.07
KALIMANTAN TIMUR,KOTA BONTANG,245.65,124.66,10.94,28.68,1,40.92
KALIMANTAN TIMUR,KUTAI BARAT,204.92,15.49,9.31,16.35,1.25,51.75
KALIMANTAN TIMUR,KUTAI TIMUR,119.61,24.49,4.9,13.77,2.08,47.74
KALIMANTAN TIMUR,MAHAKAM HULU,108.47,35.8,7.48,75,0,7.98
KALIMANTAN TIMUR,KOTA BALIKPAPAN,93.09,50.75,4.51,10.17,2.31,44.53
KALIMANTAN TIMUR,KUTAI KARTANEGARA,78.33,53.01,3.83,14.67,3,61.63
KALIMANTAN TIMUR,PENAJAM PASER UTARA,75.88,14.33,8.78,8.8,3.25,39.41
KALIMANTAN TIMUR,PASER,68.68,14.64,4.23,18.26,2.72,50.09
KALIMANTAN TIMUR,KOTA SAMARINDA,38.02,27.03,1.4,11.54,2,47.26
KALIMANTAN UTARA,TANA TIDUNG,204.82,0,0,6.76,1,0
KALIMANTAN UTARA,MALINAU,184.03,24.02,9.09,71.72,2,37.09
KALIMANTAN UTARA,KOTA TARAKAN,178.37,34.23,4.56,6.85,3.5,51.34
KALIMANTAN UTARA,NUNUKAN,107.56,10.94,3.39,2.27,3.35,24.01
KALIMANTAN UTARA,BULUNGAN,510.67,27.82,10.41,54.2,3,73.18
KEPULAUAN BANGKA BELITUNG,KOTA PANGKAL PINANG,249.72,48.24,7.99,21.74,2.13,78.81
KEPULAUAN BANGKA BELITUNG,BELITUNG TIMUR,244.96,9.38,5.41,3.45,0,31.14
KEPULAUAN BANGKA BELITUNG,BANGKA TENGAH,156.07,17.56,7.14,30.28,2.24,59.36
KEPULAUAN BANGKA BELITUNG,BELITUNG,117.52,25.3,7.91,11.68,1.2,53.33
KEPULAUAN BANGKA BELITUNG,BANGKA,105.84,52.56,6.23,20.27,2.33,49.8
KEPULAUAN BANGKA BELITUNG,BANGKA SELATAN,79.12,10.76,7.15,58,2.5,38.92
KEPULAUAN BANGKA BELITUNG,BANGKA BARAT,75.49,11.65,5.16,20.96,4.24,24.86
KEPULAUAN RIAU,"NATUNA",79.42,11.88,3.72,18.67,3.8,36.81
KEPULAUAN RIAU,LINGGA,70.84,5.69,12.18,19.05,0,11.69
KEPULAUAN RIAU,BINTAN,29.17,3.91,3.04,27.42,3.27,8.08
KEPULAUAN RIAU,KOTA BATAM,14.77,25.55,1.43,10.14,4.2,33.27
LAMPUNG,LAMPUNG BARAT,32.2,7.81,0.33,60.34,2.2,45.28
LAMPUNG,KOTA BANDAR LAMPUNG,28.19,31.77,3.21,26.27,4.6,41.37
LAMPUNG,LAMPUNG TIMUR,23.74,2.42,1.13,34.07,3.79,40.18
LAMPUNG,PESAWARAN,21.63,4.63,1.77,54,2.85,45.65
LAMPUNG,MESUJI,15.32,3.74,0,56.52,1.5,24.42
LAMPUNG,LAMPUNG SELATAN,14.85,3.59,0.19,25.29,2.37,25.05
LAMPUNG,PESISIR BARAT,6.36,0.45,0,0,0,7.14
LAMPUNG,LAMPUNG UTARA,4.02,5.47,4.67,44.07,0,32.38
LAMPUNG,TULANGBAWANG,3.9,2.2,1.08,77.78,0,9.75
LAMPUNG,LAMPUNG TENGAH,7.91,7.6,1.77,72.73,2.8,32.95
MALUKU,MALUKU TENGGARA,19.85,2.98,0,69.44,4,2.94
MALUKU,KOTA AMBON,5.69,21.54,0.21,9.53,2,14.51
MALUKU,KOTA TUAL,3.91,14.71,0,30.77,0,20.9
MALUKU,MALUKU TENGAH,3.72,7.71,0,25.71,1.89,26.36
MALUKU,MALUKU BARAT DAYA,2.72,0,0,66.67,0,0
MALUKU,MALUKU TENGGARA BARAT,2.66,0.13,0,73.33,0,0.65
MALUKU,SERAM BAGIAN TIMUR,2.64,0.13,0,0,0,0.79
MALUKU,SERAM BAGIAN BARAT,2.31,0.58,0,0,0,3.85
MALUKU,BURU SELATAN,1.59,NA,0,17.65,0,NA
MALUKU,KEPULAUAN ARU,0,0,0,9.47,0,0
MALUKU,BURU,0,0.68,0,6.06,0,7.14
MALUKU,KOTA TUAL,3.91,14.71,0,30.77,NA,20.9
MALUKU UTARA,PULAU TALIABU,84.88,3.69,0,19.18,0,25
MALUKU UTARA,HALMAHERA UTARA,37.44,2.27,0.51,64.71,1,16.4
MALUKU UTARA,KOTA TIDORE KEPULAUAN,18.79,10.88,2.97,7.89,3,15.28
MALUKU UTARA,HALMAHERA SELATAN,16.51,1.87,0.42,3.46,0,13.03
MALUKU UTARA,PULAU MOROTAI,14.58,8.12,0,8.33,0,18.22
MALUKU UTARA,HALMAHERA BARAT,5.06,4.82,0,16.67,2.67,21.16
MALUKU UTARA,HALMAHERA TENGAH,3.52,0,0,0,0,0
MALUKU UTARA,KEPULAUAN SULA,0.98,0,0,0,22,0
NUSA TENGGARA BARAT,SUMBAWA BARAT,16.88,8.13,0.63,13.42,2,23.64
NUSA TENGGARA BARAT,LOMBOK BARAT,15.88,4.38,0.82,12.23,14.29,14.31
NUSA TENGGARA BARAT,LOMBOK TIMUR,15.03,5.3,0.16,52.98,11.4,29.07
NUSA TENGGARA BARAT,BIMA,2.95,2.78,0.2,2.56,12.67,7.86
NUSA TENGGARA TIMUR,KOTA KUPANG,98.42,30.21,0.87,14.71,2.78,35.68
NUSA TENGGARA TIMUR,SUMBA TENGAH,83.1,6.13,6.7,10,5.33,26.89
NUSA TENGGARA TIMUR,ROTE NDAO,37.66,3,0,8.65,0,27.86
NUSA TENGGARA TIMUR,MANGGARAI,35.35,8.17,0.57,29.82,1,43.64
NUSA TENGGARA TIMUR,FLORES TIMUR,35.02,1.37,0.38,8.33,0,9.65
NUSA TENGGARA TIMUR,MALAKA,31.86,3.25,0.51,0,0,29.22
NUSA TENGGARA TIMUR,MANGGARAI TIMUR,26.04,0,0.69,18.18,3.58,0
NUSA TENGGARA TIMUR,KUPANG,25.3,19.32,4.01,11.34,0,36.73
NUSA TENGGARA TIMUR,TIMOR TENGAH UTARA,23.61,7.24,0.77,90.2,0,31.72
NUSA TENGGARA TIMUR,SUMBA BARAT DAYA,22.07,16.28,2.51,6.41,3.33,84.47
NUSA TENGGARA TIMUR,TIMOR TENGAH SELATAN,18.42,1.27,0,42.57,5.04,37.5
NUSA TENGGARA TIMUR,ENDE,18.17,2.6,1.09,6.3,8.59,17.01
NUSA TENGGARA TIMUR,MANGGARAI BARAT,14.64,5.18,1.05,1.65,2.22,23.96
NUSA TENGGARA TIMUR,ALOR,7.69,2.81,0.96,4.14,4.6,30.83
PAPUA,BOVEN DIGOEL,105.68,46.31,0,16.54,0,53.16
PAPUA,KOTA JAYAPURA,34.6,35.02,0,9.7,2.75,35.29
PAPUA,JAYAPURA,28.8,5.56,1.56,8.62,4,35.71
PAPUA,JAYAWIJAYA,27.5,30.01,0.47,7.89,0,77.18
PAPUA,MAPPI,23.62,15.75,0,0,0,100
PAPUA,YAHUKIMO,18.87,2.04,0,0,0,36.36
PAPUA,BIAK NUMFOR,15.42,5.08,0,9.52,0,5.41
PAPUA,SARMI,14.89,0,0,0,0,0
PAPUA,KEEROM,13.73,4.9,0,0,0,14.29
PAPUA,MAMBERAMO TENGAH,7.44,0,0,33.33,0,0
PAPUA,TOLIKARA,7.41,2.6,0,0,2.5,55.1
PAPUA,ASMAT,6.91,9.58,0,7.69,0,31.34
PAPUA,WAROPEN,6.13,NA,0,0,0,NA
PAPUA,LANNY JAYA,6.02,21.58,0,0,0,98.37
PAPUA,SUPIORI,4.82,0,0,60,0,0
PAPUA,PEGUNUNGAN BINTANG,3.9,0,0,0,0,0
PAPUA,NDUGA,3.59,NA,0,NA,0,NA
PAPUA,PUNCAK,1.77,NA,0,0,0,NA
PAPUA,YALIMO,1.48,NA,0,0,0,NA
PAPUA,PANIAI,1.17,3.09,0,0,0,44.05
PAPUA,PUNCAK JAYA,0.77,3.09,0,0,0,33.33
PAPUA,MAMBERAMO RAYA,0,NA,0,0,0,NA
PAPUA,INTAN JAYA,0,0,0,0,0,0
PAPUA,DOGIYAI,0,NA,0,NA,0,NA
PAPUA,DEIYAI,0,NA,0,0,0,NA
PAPUA BARAT,SORONG,142.77,5.18,1.07,20.96,2,7.96
PAPUA BARAT,TELUK WONDAMA,20.48,10.45,2.93,4.29,0,8.5
PAPUA BARAT,SORONG SELATAN,18.12,5.18,6.04,0,2,51.43
PAPUA BARAT,TELUK BINTUNI,17.72,15.61,2.95,26.53,0,24.03
PAPUA BARAT,KOTA SORONG,17.52,3.86,0,2.06,1.33,5.91
PAPUA BARAT,KAIMANA,7.72,0,0,15.56,0,0
PAPUA BARAT,TAMBRAUW,6.34,0,0,0,0,0
PAPUA BARAT,PEGUNUNGAN ARFAK,0,NA,0,0,0,NA
PAPUA BARAT,MAYBRAT,0,NA,0,0,0,NA
PAPUA BARAT,MANOKWARI SELATAN,0,0,0,66.67,0,0
RIAU,KOTA PEKANBARU,90.4,48.45,3.45,17.61,7.79,41.44
RIAU,KEPULAUAN MERANTI,36.49,10.43,2.12,39.29,1.5,56.33
RIAU,KAMPAR,35.91,2.96,3.06,35.58,5.07,41.5
RIAU,KUANTAN SINGINGI,31.32,2.44,3.41,37.86,6.18,28.06
RIAU,INDRAGIRI HILIR,31.03,4.12,1.11,37.72,3,39.62
RIAU,INDRAGIRI HULU,29.3,7.47,1.35,48.36,4.85,60.26
RIAU,ROKAN HILIR,20.35,1.32,1.92,23.48,4.56,26.59
SULAWESI BARAT,MAMASA,33.29,2.11,1.23,0,3.04,22.86
SULAWESI BARAT,MAMUJU TENGAH,29.16,1.98,2.19,48.24,2.67,7.54
SULAWESI BARAT,MAMUJU UTARA,27.82,5.25,1.67,46.3,7.67,75
SULAWESI BARAT,POLEWALI MANDAR,19.43,9.04,2.49,39,2.86,27.81
SULAWESI BARAT,MAJENE,18.88,5.15,1.14,0,2.81,32.14
SULAWESI BARAT,MAMUJU,16.65,4.47,0.67,11.27,7.67,27.98
SULAWESI SELATAN,TANA TORAJA,96.44,24.75,0,32.77,3.05,32.75
SULAWESI SELATAN,KOTA PAREPARE,25.15,20.98,0,33.18,3,28.05
SULAWESI SELATAN,PANGKAJENE DAN KEPULAUAN,24.15,3.58,0.88,20.54,3.09,36.8
SULAWESI SELATAN,BARRU,22.28,6.45,0.57,53.62,3,28.21
SULAWESI SELATAN,MAROS,20.99,4.04,0.28,14.75,3.69,15.51
SULAWESI SELATAN,LUWU,20.27,7.41,0,25.36,5.33,28.57
SULAWESI SELATAN,TORAJA UTARA,18.12,3.01,0,66.67,2,23.04
SULAWESI SELATAN,GOWA,16.41,1.89,0.64,9.59,5.93,30.65
SULAWESI SELATAN,PINRANG,15.48,4.24,1.84,52.94,2.33,47.48
SULAWESI SELATAN,ENREKANG,15.24,7.62,1.43,57.45,4.91,55.17
SULAWESI SELATAN,BONE,14.91,2.77,0.13,42.31,4.17,29.17
SULAWESI SELATAN,BULUKUMBA,14.69,10.83,0.47,7.32,9.12,81.63
SULAWESI SELATAN,JENEPONTO,14.44,3.7,1.36,31.65,2.05,33.1
SULAWESI SELATAN,TAKALAR,6.7,3.01,0.33,14.17,6.1,16.67
SULAWESI SELATAN,KEPULAUAN SELAYAR,2.94,1.78,0,20,5.17,13.49
SULAWESI TENGAH,POSO,127.18,19.35,4.15,39.23,2,56.09
SULAWESI TENGAH,MOROWALI UTARA,113.54,14.72,3.76,69.23,0,55.92
SULAWESI TENGAH,BUOL,112.13,9.46,4.77,11.32,0,36.04
SULAWESI TENGAH,KOTA PALU,112,75.64,4.75,16.79,2.5,55.4
SULAWESI TENGAH,BANGGAI,86.81,16.81,3.63,21.12,0,47.69
SULAWESI TENGAH,TOJO UNA-UNA,85.17,14.64,2.56,0,0,30.08
SULAWESI TENGAH,SIGI,69.41,5.84,3.72,5.45,0,41.6
SULAWESI TENGAH,BANGGAI LAUT,31.01,4.43,2.58,11.11,3,18.05
SULAWESI TENGAH,TOLI-TOLI,26.38,13.4,2.09,0,3.53,33.68
SULAWESI TENGGARA,KOLAKA TIMUR,26.37,0,2.85,9.52,2,0
SULAWESI TENGGARA,KONAWE SELATAN,22.82,0.89,0,50,3.75,5.83
SULAWESI TENGGARA,KONAWE UTARA,21.55,5.94,0,27.5,0,14.29
SULAWESI TENGGARA,KOTA KENDARI,18.92,17.6,0.25,7.24,0,15.77
SULAWESI TENGGARA,KOLAKA,15.54,7.19,0.37,12.39,2.09,74.73
SULAWESI TENGGARA,WAKATOBI,7.79,0.28,0,5.56,0,3.17
SULAWESI TENGGARA,KOLAKA UTARA,7.07,19.93,0,44.44,4.2,83.78
SULAWESI TENGGARA,BUTON,4.88,0,0.98,0,0,0
SULAWESI TENGGARA,MUNA BARAT,4.82,1.21,0,0,0,16.67
SULAWESI TENGGARA,KOTA BAUBAU,4.08,8.66,0.58,6.12,3,20.35
SULAWESI TENGGARA,BUTON UTARA,3.14,1.57,0,0,0,14.29
SULAWESI TENGGARA,BUTON TENGAH,1.07,0,1.07,0,0,0
SULAWESI TENGGARA,MUNA,0.89,1.33,0.44,14.29,4,3.57
SULAWESI TENGGARA,KONAWE KEPULAUAN,0,0,0,0,0,0
SULAWESI TENGGARA,BUTON SELATAN,0,0,0,0,0,0
SULAWESI UTARA,KOTA TOMOHON,94.46,72.45,6.42,50.3,2.67,55.63
SULAWESI UTARA,MINAHASA SELATAN,86.62,23.19,0.95,37.04,4.38,50.52
SULAWESI UTARA,MINAHASA TENGGARA,28.09,3.34,9.36,80.56,2.25,13.23
SULAWESI UTARA,KEPULAUAN TALAUD,25.77,3.07,0,100,0,11.49
SULAWESI UTARA,KOTA BITUNG,25.5,7.8,0.45,9.94,2.5,21.52
SULAWESI UTARA,BOLAANG MONGONDOW UTARA,7.36,20.84,0,58.33,0,70.83
SUMATERA BARAT,KOTA PADANG PANJANG,97.06,41.6,7.19,25,2,33.54
SUMATERA BARAT,KOTA BUKITTINGGI,91.6,57.05,2.2,24.77,2.45,39.93
SUMATERA BARAT,KEPULAUAN MENTAWAI,81.53,5.46,0,11.84,1,21.14
SUMATERA BARAT,KOTA PADANG,67.85,48.13,1.63,14.12,2.77,45.53
SUMATERA BARAT,KOTA SAWAH LUNTO,67.27,13.63,0,30.81,2.08,34.86
SUMATERA BARAT,KOTA SOLOK,67.19,58.55,0,28.74,0,66.89
SUMATERA BARAT,AGAM,36.94,3.79,1.2,28.59,2.49,27.14
SUMATERA BARAT,TANAH DATAR,32.3,5.27,0.86,22.04,2.79,38.39
